136,9,1190,28,50,2,39,620,32959,274,79,433,181,189,31977,233,26
18,0,35,0,76,0,53,1133,29000,16,0,135,0,3,8025,92,0
83,0,10187,64,100,0,98,956,35957,99,0,214,0,556,11045,1479,118
0,0,0,2856,0,0,0,603,5761,65,0,0,11,0,725,45,0
30,0,742,0,2875,0,244,1701,2625,26,4,317,124,592,1601,1286,24
7,239,119,0,0,775,0,257,112,26,0,260,7,0,15952,259,0
0,0,0,0,0,0,3375,63,0,0,0,0,0,32,0,0,0
0,0,0,0,0,0,23,3061,1148,0,10,0,0,0,159,17,0
5,0,0,0,0,0,20,809,49740,447,3,362,0,18,2009,72,93
0,0,0,0,0,0,8,49,17309,8352,19,0,4,0,60688,0,0
151,0,858,0,0,0,1304,469,41516,9965,43805,302,19,1295,11265,0,0
102,4,97,112,7,0,74,12589,92424,59,285,11723,0,37,6814,1028,59
26,0,0,0,46,0,181,0,1811,1198,0,0,2778,32,95,63,0
0,0,41,0,64,1,1989,137,1674,4911,29,6,0,3157,270,0,0
0,0,286,0,0,0,41,31,468,288,7,0,0,7,25299,0,0
0,0,0,0,0,0,3,124,745,0,0,84,0,1,0,44809,602
369,0,728,98,0,0,0,418,469,0,0,42,0,91,20,1767,3028
