596,1289,17,0,1520,0,2826,101,0,923,19,7,0,0,61127,0,0
346,920,0,0,383,8,677,15,0,142,0,0,0,0,36095,0,0
112,0,768,0,432,0,4018,52,337,96,0,0,0,0,55136,0,5
0,0,0,1241,53,0,450,157,141,163,0,0,0,0,7861,0,0
328,471,0,0,4610,0,3032,0,0,733,0,1,0,0,3016,0,0
0,626,0,0,200,170,75,0,0,275,0,0,0,0,16667,0,0
0,0,0,0,0,0,3462,5,0,0,0,0,0,3,0,0,0
0,49,0,0,7,0,865,1957,0,17,0,0,0,0,1523,0,0
9,3,18,0,0,0,2784,547,11023,4,0,4,0,602,38582,2,0
8,65,0,0,34,0,1966,0,918,8788,30,0,0,0,74620,0,0
785,701,164,0,2639,0,27195,397,382,235,24905,31,0,561,52954,0,0
883,11715,0,0,163,0,5981,2070,3465,248,19,442,0,0,100428,0,0
0,0,0,0,66,0,2131,0,0,1754,0,0,1551,0,725,0,3
32,25,1,0,482,0,7367,316,0,21,0,4,0,205,3826,0,0
1,0,0,0,0,0,95,0,0,202,0,0,0,0,26129,0,0
644,4133,193,0,139,12,34836,195,2068,42,116,2378,0,0,1572,13,27
588,1804,357,0,377,0,1977,9,8,0,18,773,0,0,1115,0,4
