epoch,total_loss,source_cls_loss,mmd_loss,distill_loss,consistency_loss,adapt_scale,source_train_accuracy,quick_val_oa,quick_val_aa,quick_active_classes,quick_max_class_fraction,full_val_oa,full_val_aa,full_active_classes,full_max_class_fraction,lr
1,2.0690435990691185,2.046863105148077,0.0,4.337232522666454,0.022368531790561974,0.051562500000000004,0.354248046875,0.16073069852941177,0.16073069852941177,7,0.5631318933823529,,,,,0.01
2,1.002194119617343,0.9534181598573923,0.0,2.730225272476673,0.054282793309539557,0.15156250000000002,0.704833984375,0.059340533088235295,0.059340533088235295,5,0.9318416819852942,,,,,0.01
3,0.5852694073691964,0.515180354937911,0.0,1.7670854590833187,0.10257396148517728,0.2515625,0.84228515625,0.10248161764705882,0.10248161764705882,8,0.6285903033088235,,,,,0.01
4,0.3846514765173197,0.29502675449475646,0.0,1.194784915074706,0.1360647592227906,0.3515625,0.9189453125,0.15326286764705882,0.15326286764705882,15,0.5010914522058824,,,,,0.01
5,0.22494781948626041,0.12112068687565625,0.0,0.7688327226787806,0.15356906782835722,0.4515625,0.978759765625,0.0959329044117647,0.0959329044117647,15,0.9053883272058824,,,,,0.01
6,0.18451872654259205,0.06712631927803159,0.0,0.5112812519073486,0.16184855438768864,0.5515625,0.99072265625,0.07062844669117647,0.07062844669117647,17,0.8899069393382353,,,,,0.01
7,0.18507435731589794,0.05193618265911937,0.0,0.39425175730139017,0.1650639595463872,0.6515624999999999,0.992919921875,0.06991038602941177,0.06991038602941177,13,0.9712775735294118,,,,,0.01
8,0.18092019762843847,0.032574762182775885,0.0,0.31148193404078484,0.16628642845898867,0.7515625,0.99755859375,0.06364889705882353,0.06364889705882353,16,0.9626321231617647,,,,,0.01
9,0.19283603318035603,0.028974744665902108,0.0,0.2495168331079185,0.16753399232402444,0.8515625,0.99658203125,0.06160960477941176,0.06160960477941176,13,0.9881950827205882,,,,,0.01
10,0.2028601123020053,0.02224671933799982,0.0,0.2219607555307448,0.16764388512820005,0.9515625,0.998779296875,0.06301700367647059,0.06301700367647059,15,0.9628044577205882,0.04649775849016182,0.06358885036768838,16,0.9814252152124476,0.01
11,0.21894722850993276,0.029077553655952215,0.0,0.20823307614773512,0.16904636565595865,1.0,0.99560546875,0.06606158088235294,0.06606158088235294,16,0.9572035845588235,,,,,0.01
12,0.20053927693516016,0.017689676576992497,0.0,0.1625724476762116,0.1665923548862338,1.0,0.999267578125,0.06522863051470588,0.06522863051470588,14,0.9810719209558824,,,,,0.01
13,0.19314406579360366,0.013668293642695062,0.0,0.13823299505747855,0.16565247252583504,1.0,0.998779296875,0.06109260110294118,0.06109260110294118,11,0.9802389705882353,,,,,0.01
14,0.19119641929864883,0.01577291192370467,0.0,0.12704313802532852,0.16271919570863247,1.0,0.99755859375,0.0705710018382353,0.0705710018382353,12,0.9633501838235294,,,,,0.01
15,0.18256805324926972,0.010688701586332172,0.0,0.10081564309075475,0.16179778752848506,1.0,0.999267578125,0.07973345588235294,0.07973345588235294,10,0.9573184742647058,,,,,0.01
16,0.1888462221249938,0.01597855040745344,0.029502948746085167,0.10530082718469203,0.15938729466870427,1.0,0.997802734375,0.11885340073529412,0.11885340073529412,11,0.8374310661764706,,,,,0.01
17,0.25157103361561894,0.01675847146543674,0.6001367922872305,0.19128810660913587,0.15567006962373853,1.0,0.99755859375,0.24049287683823528,0.24049287683823528,15,0.6603285845588235,,,,,0.01
18,0.2285856013186276,0.013326747779501602,0.40152194257825613,0.21353018749505281,0.15375363873317838,1.0,0.9990234375,0.29523782169117646,0.29523782169117646,17,0.45749080882352944,,,,,0.01
19,0.21780371014028788,0.011309062974760309,0.34464287385344505,0.20492207258939743,0.1515381527133286,1.0,0.9990234375,0.12939453125,0.12939453125,16,0.8485179227941176,,,,,0.01
20,0.21037790644913912,0.00906272044085199,0.32165928464382887,0.20458705117926002,0.1486905524507165,1.0,0.999755859375,0.22107651654411764,0.22107651654411764,17,0.5614659926470589,0.12562298340110215,0.2227833643900031,17,0.6968091959081046,0.01
21,0.20684849843382835,0.010190017565037124,0.3175235949456692,0.22596056712791324,0.14231006475165486,1.0,0.999755859375,0.14682904411764705,0.14682904411764705,16,0.6716739430147058,,,,,0.01
22,0.20917524676769972,0.013860716309864074,0.3302574520930648,0.22810400975868106,0.13947838288731873,1.0,0.998046875,0.10113166360294118,0.10113166360294118,15,0.8359662224264706,,,,,0.01
23,0.20685431640595198,0.013423427357338369,0.32346337102353573,0.20416522352024913,0.1406680284999311,1.0,0.997802734375,0.22593060661764705,0.22593060661764705,13,0.5803079044117647,,,,,0.01
24,0.19352465448901057,0.008062679728027433,0.3120346302166581,0.1836554859764874,0.13589296163991094,1.0,1.0,0.17951516544117646,0.17951516544117646,16,0.48371438419117646,,,,,0.01
25,0.19326283317059278,0.010099460007040761,0.3368869796395302,0.20134559692814946,0.12934011686593294,1.0,0.999267578125,0.2197552849264706,0.2197552849264706,14,0.5366498161764706,,,,,0.01
26,0.18971522198989987,0.011514525322127156,0.3821533964946866,0.19846942648291588,0.12013841536827385,1.0,0.999267578125,0.11328125,0.11328125,14,0.8484892003676471,,,,,0.01
27,0.1782147935591638,0.010276602115482092,0.40309182088822126,0.1744710812345147,0.110181899741292,1.0,0.999755859375,0.15007467830882354,0.15007467830882354,15,0.8560431985294118,,,,,0.01
28,0.17372907092794776,0.010048324154922739,0.37593882251530886,0.16456012520939112,0.10963085247203708,1.0,0.9990234375,0.22863051470588236,0.22863051470588236,16,0.7102768841911765,,,,,0.01
29,0.16712278872728348,0.007717076514381915,0.34463361371308565,0.1534440212417394,0.10959794837981462,1.0,0.999755859375,0.10173483455882353,0.10173483455882353,14,0.9380457261029411,,,,,0.01
30,0.1640786761417985,0.007233295706100762,0.3274997593834996,0.1444078863132745,0.1096546147018671,1.0,1.0,0.06686580882352941,0.06686580882352941,11,0.9814453125,0.014489837571960644,0.06799189689850448,14,0.9829538134617973,0.01
31,0.1649108831770718,0.008339661420905031,0.3198498282581568,0.14992097252979875,0.10959414043463767,1.0,0.999267578125,0.10727826286764706,0.10727826286764706,13,0.9341394761029411,,,,,0.01
32,0.16296298103407025,0.00781404654844664,0.3168467301875353,0.13744228892028332,0.10972003219649196,1.0,0.99951171875,0.14998851102941177,0.14998851102941177,15,0.8573069852941176,,,,,0.01
33,0.16219995776191354,0.007419091503834352,0.3088812828063965,0.14048604923300445,0.10984413465484977,1.0,1.0,0.07674632352941177,0.07674632352941177,14,0.9695829503676471,,,,,0.01
34,0.1592779508791864,0.0061739103111904114,0.30108699575066566,0.1279794170986861,0.11019739648327231,1.0,1.0,0.09208409926470588,0.09208409926470588,10,0.9393956801470589,,,,,0.01
