0,0,0,0,0,11726,0,0,0,0,37895,18721,66,17,0,0,0
0,0,0,0,0,5910,0,0,0,0,6197,26479,0,0,0,0,0
0,0,2,0,0,10865,0,0,0,0,47619,2462,2,1,0,0,5
0,0,0,0,0,1683,0,0,0,0,382,8001,0,0,0,0,0
0,0,0,0,0,3858,0,0,0,0,8192,131,0,10,0,0,0
0,0,0,0,0,14671,0,0,0,0,494,2848,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3465,0,0,5,0,0,0
0,0,0,0,0,911,0,0,0,0,1156,2350,0,1,0,0,0
2,0,0,0,0,2551,0,0,0,0,36654,14366,0,5,0,0,0
0,0,0,0,0,39785,0,0,0,0,27391,19253,0,0,0,0,0
24,0,0,0,0,12414,0,0,0,0,93045,5367,28,1,0,0,70
0,0,0,0,0,7333,0,0,0,0,28549,89532,0,0,0,0,0
1,0,0,0,0,564,0,0,0,0,5497,0,155,13,0,0,0
0,0,0,0,0,178,0,0,0,0,12047,54,0,0,0,0,0
0,0,0,0,0,16011,0,0,0,0,5229,5187,0,0,0,0,0
0,0,0,0,0,57,0,0,0,0,19996,25463,0,2,0,27,823
3,0,0,0,0,517,0,0,0,0,2942,3235,0,0,0,0,333
