epoch,total_loss,source_cls_loss,mmd_loss,distill_loss,consistency_loss,val_oa,val_aa,lr
1,3.9029523134231567,3.3883869647979736,0.0,4.944082975387573,0.020156962797045708,0.009018150656674807,0.058823529411764705,0.01
2,3.5330700874328613,3.0556063652038574,0.0,4.549415588378906,0.022522153332829475,0.009018150656674807,0.058823529411764705,0.01
3,3.1795883178710938,2.682565212249756,0.0,4.724957704544067,0.024527343921363354,0.16060269618096518,0.058823529411764705,0.01
4,3.091738224029541,2.600618839263916,0.0,4.686384916305542,0.02248083520680666,0.16060269618096518,0.058823529411764705,0.01
5,2.9130537509918213,2.4357038736343384,0.0,4.548609256744385,0.02248894888907671,0.017774297257353123,0.058823529411764705,0.01
6,2.722825050354004,2.2811211347579956,0.0,4.130943775177002,0.028609578497707844,0.017774297257353123,0.058823529411764705,0.01
7,2.7732268571853638,2.349230408668518,0.0,3.8912540674209595,0.03487088717520237,0.017774297257353123,0.058823529411764705,0.01
8,2.775997281074524,2.313541889190674,0.0,4.379106521606445,0.024544719606637955,0.017774297257353123,0.058823529411764705,0.01
9,2.5214180946350098,2.0880125761032104,0.0,4.043165802955627,0.029088927432894707,0.017774297257353123,0.058823529411764705,0.01
10,2.3735580444335938,1.946107804775238,0.0,3.9602737426757812,0.03142275661230087,0.017774297257353123,0.058823529411764705,0.01
11,2.5371166467666626,2.1256206035614014,0.0,3.7278655767440796,0.03870948776602745,0.017774297257353123,0.058823529411764705,0.01
12,2.412474751472473,1.9869446754455566,0.0,3.900705575942993,0.03545950725674629,0.017774297257353123,0.058823529411764705,0.01
13,2.2627042531967163,1.8635620474815369,0.0,3.5586349964141846,0.04327875189483166,0.14277194501099405,0.10731849770321049,0.01
14,2.1437565684318542,1.7437799572944641,0.0,3.5509893894195557,0.044877516105771065,0.13397237232368647,0.12835825086482025,0.01
15,2.069335460662842,1.6797603368759155,0.0,3.423362135887146,0.047238847240805626,0.029948076875753623,0.13049918965813756,0.01
16,2.1481683254241943,1.753804624080658,0.0,3.486412525177002,0.045722538605332375,0.007195702554467169,0.06205514194551256,0.01
